,user,es,is,ps
0,0x000000000004d7463d0f9c77383600bc82d612f5,1,0.150000000,93.0
1,0x00000000000cd56832ce5dfbcbff02e7ec639bc9,2,0.500000000,64.5
2,0x0000000000a47f168017e6624f59488924ec6f50,2,0.105000000,115.5
3,0x000000000da41b18fa6b9ba31d835335cd34b8c4,1,0.100000000,86.0
4,0x000000000f4141775240685a4e005ed819846840,3,4.750000000,23.333333333333332
5,0x000000005e2f9f4a3056c1540b5235475bd17871,1,0.097000000,120.0
6,0x0000000096cc10124dabc73793eed49b910ef675,1,0.100000000,86.0
7,0x00000000cba2c8df782716d99f10e6a2d39ea5c0,1,0.100000000,86.0
8,0x00000001c3bd5696fd7a7630871eb067a633eb18,1,0.100000000,86.0
9,0x00000005c3900fc3d0cb021994f0889ff19191ad,4,12.750000000,18.25
10,0x00000005d8fe54bdf696d72db37c9bb09ac80088,1,0.100000000,86.0
11,0x0000000fec39e8982321dd92576565f6631c9542,1,0.100000000,33.0
12,0x000000105de91f6c9b8c7d56d16258461ddaec1d,2,0.116900000,126.0
13,0x0000004d1f9fe4bbcecd599ee2d2d5b893b9cbf7,4,17.400000000,16.0
14,0x000000feee8780d16539eb78ad2f2702e8c3c844,3,3.950000000,22.0
15,0x000005a271a610964bb42658c7ff50fee2aa055a,1,0.050000000,103.0
16,0x0000396ed2931b122b9056641eb41ed142355191,2,0.750000000,59.0
17,0x00005c221704802b8b66d8650a6acc46b1288865,2,11.000000000,1.5
18,0x0000645bdccef2a7ddd634efe5af443e4c864c05,1,3.000000000,5.0
19,0x0000c04feb6ce2706c034e2dd0db3c9d54d80000,2,5.500000000,26.5
20,0x0000e6a44cacb8dc5167efa4df041749bd33c482,1,6.000000000,1.0
21,0x0002cf540a528d8680021c51d31166c792d51789,1,0.025000000,103.0
22,0x00030f4b6e66c1e83d36d35be888534dad275bd0,1,0.050000000,103.0
23,0x00052e138db864583ef3ba2fcb53e49bca4a414c,1,6.000000000,1.0
24,0x00052fb2f4c461b47abe6f9fb35e5ad74500d93b,1,0.100000000,86.0
25,0x0005dd02a10f6d0ba855691b2ee4457fac425249,2,0.450000000,66.5
26,0x0007088b738ea5a4dee1e21ed5e1ffb02566dc0d,4,14.400000000,8.25
27,0x000814f58378c630cfaa2c6ffb8791897c5e93f0,1,0.200000000,33.0
28,0x00086dcfe3d91fcf17ac312e794497ece7fa6ab6,1,6.000000000,1.0
29,0x0009a1cfb021bf6db2c2d6258406dc1251c9dd4a,2,0.500000000,74.0
30,0x000a843b560ec9ccf927ec176fc0486c91c3cf30,1,3.000000000,5.0
31,0x000b75fcdc15d41277deb033c72d2c8d774ccced,1,0.100000000,79.0
32,0x000c452e632e4983e2807813519b064c16faa3d5,4,14.400000000,8.25
33,0x000c9d05b64167cc59ad776c2032c736a4d6e8ee,1,0.100000000,33.0
34,0x000cd27f10dffac73201258eaa3925c0452051a0,8,24.000000000,22.125
35,0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,5,0.716900000,102.6
36,0x000e713bb2104123a18c99582f51fdc217a22f52,4,14.400000000,8.25
37,0x001824463afbde7f904cd0b74a2cd5d04bc5f04c,1,0.400000000,112.0
38,0x001aba7087f49a135ffb121a40684416824e9c34,1,0.150000000,47.0
39,0x001b26186552e79a318df256830a485bdbca4677,1,0.150000000,93.0
40,0x001dc27961f97a04bcecd829a12895ccf8ca3b3c,1,0.100000000,105.0
41,0x001e1826c164dd5d439b72f2aa837848a37a88db,2,0.300000000,98.5
